# joint_log_example.csv -- reference format for actuator_eval envelopes
# robot=arm-004 joint=elbow fw=rs-fw-1.4.2 rate=1000Hz captured=2026-07-28T09:14:00Z
# units: t_s=s  q_rad=rad  qd_rad_s=rad/s  tau_Nm=N.m  (all joint-referred)
t_s,q_rad,qd_rad_s,tau_Nm
0.0000,-0.349066,0.00000,-1.37509
0.0010,-0.349050,0.01571,-1.15666
0.0020,-0.349019,0.03142,-0.99767
0.0030,-0.348972,0.04712,-1.06995
0.0040,-0.348909,0.06283,-1.11085
0.0050,-0.348830,0.07854,-1.03428
0.0060,-0.348736,0.09424,-1.25128
0.0070,-0.348626,0.10995,-1.08011
0.0080,-0.348500,0.12565,-1.02239
0.0090,-0.348359,0.14136,-0.98914
0.0100,-0.348202,0.15706,-1.10915
0.0110,-0.348029,0.17276,-1.12825
0.0120,-0.347841,0.18846,-1.05375
0.0130,-0.347637,0.20416,-1.05346
0.0140,-0.347417,0.21986,-1.11828
0.0150,-0.347181,0.23556,-1.04302
0.0160,-0.346930,0.25125,-1.08021
0.0170,-0.346663,0.26695,-0.95439
0.0180,-0.346380,0.28264,-1.12437
0.0190,-0.346082,0.29833,-1.15008
0.0200,-0.345768,0.31402,-1.28085
0.0210,-0.345438,0.32970,-1.02778
0.0220,-0.345093,0.34538,-1.13605
0.0230,-0.344732,0.36106,-1.02862
0.0240,-0.344355,0.37674,-1.05702
0.0250,-0.343963,0.39242,-1.02706
0.0260,-0.343555,0.40809,-1.15451
0.0270,-0.343131,0.42376,-1.02899
0.0280,-0.342691,0.43943,-1.13429
0.0290,-0.342236,0.45509,-1.03263
0.0300,-0.341766,0.47075,-1.04305
0.0310,-0.341279,0.48641,-0.99841
0.0320,-0.340777,0.50207,-1.20233
0.0330,-0.340259,0.51772,-1.09780
0.0340,-0.339726,0.53337,-1.05557
0.0350,-0.339177,0.54901,-1.24397
0.0360,-0.338612,0.56465,-1.16489
0.0370,-0.338032,0.58029,-1.10497
0.0380,-0.337436,0.59592,-1.26527
0.0390,-0.336825,0.61155,-1.24264
0.0400,-0.336197,0.62717,-1.31727
0.0410,-0.335555,0.64279,-1.09374
0.0420,-0.334896,0.65841,-1.01228
0.0430,-0.334222,0.67402,-1.21882
0.0440,-0.333533,0.68962,-1.06128
0.0450,-0.332827,0.70522,-1.24291
0.0460,-0.332106,0.72082,-1.19007
0.0470,-0.331370,0.73641,-1.11481
0.0480,-0.330618,0.75200,-1.10987
0.0490,-0.329851,0.76758,-1.00838
0.0500,-0.329067,0.78316,-1.28930
0.0510,-0.328269,0.79873,-1.04373
0.0520,-0.327454,0.81429,-1.12562
0.0530,-0.326624,0.82985,-1.07281
0.0540,-0.325779,0.84541,-1.16639
0.0550,-0.324918,0.86096,-1.25135
0.0560,-0.324042,0.87650,-1.07898
0.0570,-0.323150,0.89203,-1.10877
0.0580,-0.322242,0.90756,-1.12431
0.0590,-0.321319,0.92309,-1.26051
0.0600,-0.320380,0.93861,-1.14493
0.0610,-0.319426,0.95412,-1.14966
0.0620,-0.318457,0.96962,-1.04567
0.0630,-0.317471,0.98512,-1.14444
0.0640,-0.316471,1.00061,-1.26047
0.0650,-0.315455,1.01610,-1.23360
0.0660,-0.314423,1.03157,-1.14996
0.0670,-0.313376,1.04705,-1.23697
0.0680,-0.312314,1.06251,-1.13109
0.0690,-0.311236,1.07796,-1.27073
0.0700,-0.310142,1.09341,-1.15904
0.0710,-0.309033,1.10885,-1.08853
0.0720,-0.307909,1.12429,-1.17764
0.0730,-0.306769,1.13971,-1.02405
0.0740,-0.305614,1.15513,-1.11017
0.0750,-0.304444,1.17054,-1.33334
0.0760,-0.303258,1.18594,-1.08787
0.0770,-0.302056,1.20134,-1.20671
0.0780,-0.300840,1.21672,-1.23135
0.0790,-0.299608,1.23210,-1.17232
0.0800,-0.298360,1.24747,-1.42930
0.0810,-0.297097,1.26283,-1.18624
0.0820,-0.295819,1.27818,-1.19612
0.0830,-0.294526,1.29353,-1.12814
0.0840,-0.293217,1.30886,-1.24894
